Volilna enota,Volilni okraj,ID Volišča,Volišče,Latitude,Longitude
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,10,"GD Bezuljak, Bezuljak 21a",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,11,"TD Menišija, Begunje pri Cerknici 28",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,13,"GD Gorenje Otave, Gorenje Otave 4",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,14,"GD Sveti Vid, Sveti Vid 5",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,15,"GD Cajnarje, Hruškarje 16",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,16,"GD Žerovnica, Žerovnica 2a",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,17,"GD Martinjak, Martinjak 1b",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,18,"GD Gorenje Jezero, Gorenje Jezero 32",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,19,"POŠ 11. maj Grahovo, Grahovo 120",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,20,"Ana Žnidaršič, Bločice 5",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,22,"OŠ Rovte, Rovte 90a",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,23,"KS Log-Zaplana, Zaplana-del 58b",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,24,"GD Medvedje Brdo, Medvedje Brdo 40",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,25,"POŠ Rovtarske Žibrše, Rovtarske Žibrše 10",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,26,"POŠ Laze, Laze 57",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,27,"POŠ Vrh Sv. Treh Kraljev, Vrh Sv. Treh Kraljev 19",,
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,28,"OŠ 8 talcev Logatec, Notranjska c. 3, Logatec",45.91444,14.22583
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,30,"OŠ 8 talcev Logatec, Notranjska c. 3, Logatec",45.91444,14.22583
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,31,"Upravni center Logatec, Tržaška c. 50a, Logatec",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,32,"Upravni center Logatec, Tržaška c. 50a, Logatec",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,33,"POŠ Hotedršica, Hotedršica 120",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,34,"OŠ Tabor Logatec, Tržaška c. 150, Logatec",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,35,"Brunarica na ovinku, Grčarevec 2a",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,36,"ZVI Logatec, Tržaška c. 63, Logatec",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,37,"Medgen. center Gaber, C. Notr. odr. 45b, Stari trg",,
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,38,"Okrepčevalnica Lož, C. 19. oktobra 54, Lož",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,39,"POŠ Iga vas, Iga vas 1",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,40,"Gostišče Mlakar, Markovec 15a",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,43,"Večnamenski objekt Babno Polje, Babno Polje 82",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,44,"OŠ Nova vas, Nova vas 4b",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,45,"GD Velike Bloke, Velike Bloke 22",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,47,"VD Sveta Trojica, Sveta Trojica 5a",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3001 - LOGATEC,49,"Kraševec Bojan, Studenec na Blokah 12a",45.5916,14.1546
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,1,"LD Borovnica, Miklavičeva c. 2a, Borovnica",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,2,"OŠ Borovnica, Paplerjeva ul. 15, Borovnica",45.9165132,14.3662558
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,3,"Občina Borovnica, Paplerjeva ul. 22, Borovnica",45.9155518,14.3660219
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,5,"GD Breg pri Borovnici 18, Borovnica",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,6,"Dom krajanov Dol-Laze, Obrtniška ul.30, Borovnica",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,7,"GD Brezovica pri Borovnici 42, Borovnica",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,8,"Cankarjev dom Vrhnika, Tržaška c. 25, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,10,"OŠ I. Cankarja I, Lošca 1, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,11,"OŠ I. Cankarja II, Lošca 1, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,12,"GD Vrhnika, Jelovškova ul. 3, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,13,"Elektro Ljubljana, Ljubljanska c. 23, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,14,"OŠ I. Cankarja III, Lošca 1, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,15,"Župnijski vrtec Vrhnika, Hrib 2, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,16,"GD Verd, Verd 100, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,17,"GD Verd, Verd 100, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,18,"Dom krajanov Dragomer, Na Grivi 5, Dragomer",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,19,"GD Log pri Brezovici,Loška c.18,Log pri Brezovici",,
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,20,"GD Drenov Grič, Drenov Grič 25, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,21,"Dom KS Stara Vrhnika, Stara Vrhnika 107a, Vrhnika",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,22,"KD Bevke, Bevke 17, Log pri Brezovici",45.9635,14.29484
VE 3000 - LJUBLJANA CENTER,VO 3002 - VRHNIKA,23,"GD Podlipa, Smrečje 7, Vrhnika",45.9635,14.29484
