Volilna enota,Volilni okraj,ID Volišča,Volišče
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,19,"Vaško-gasilski dom Mur.Petrovci, Mur. Petrovci 24"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,20,"Vaško-gasilski dom Sodišinci, Sodišinci b.š."
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,21,"Vaško-gasilski dom Križevci, Križevci 153b"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,22,"Športni center Košarovci, Košarovci b.š."
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,23,"Vaško-gasilski dom Kukeč, Kukeč 21"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,24,"Vaško-gasilski dom Panovci, Panovci 31"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,25,"Vaška dvorana Gornji Petrovci, Gornji Petrovci 32"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,26,"Vaško-gasilski dom Peskovci, Peskovci 30"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,27,"Vaško-gasilski dom Šulinci, Šulinci 44"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,28,"Vaško-gasilski dom Adrijanci, Adrijanci 53"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,29,"Vaško-gasilski dom Boreča, Boreča 31"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,30,"Vaško-gasilski dom Lucova, Lucova 44"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,31,"Vaško-gasilski dom Martinje, Martinje 25"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,32,"Vaško-gasilski dom Neradnovci, Neradnovci 63a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,33,"Vaško-gasilski dom Stanjevci, Stanjevci 36a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,34,"Vaško-gasilski dom Ženavlje, Ženavlje 14"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,35,"Vaško-gasilski dom Domanjševci, Domanjševci 67"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,36,"Zadružni dom Šalovci, Šalovci 162"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,38,"Vaški dom Dolenci, Dolenci 31"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,39,"Zadružni dom Čepinci, Čepinci 10"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,40,"Vaški dom Budinci, Budinci 21"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,41,"Vaško-gasilski dom Markovci, Markovci 11a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,42,"Vaško-kulturni dom Hodoš, Hodoš 52"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,43,"Vaško-gasilski dom Krplivnik, Krplivnik 30"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,44,"Gasilski dom Grad, Grad 170"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,45,"Vaško-gasilski dom Dol.Slaveči, Dol. Slaveči 50"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,46,"Vaško-gasilski dom Kovačevci, Kovačevci 6a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,47,"Vaško-gasilski dom Kruplivnik, Kruplivnik 10"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,48,"Gasilsko-vaški dom Motovilci, Motovilci 38a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,49,"Gasilski dom Radovci, Radovci 26"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,50,"Vaško-gasilski dom Vidonci, Vidonci 82"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,51,"Gasilski dom Kuzma, Kuzma 24"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,52,"Zadružni dom Dolič, Dolič 22"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,53,"Gasilski dom Gornji Slaveči, Gornji Slaveči 18"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,54,"Gasilski dom Matjaševci, Matjaševci 6"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,55,"Gasilski dom Trdkova, Trdkova 22"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,56,"Vaško-gasilski dom Martjanci, Martjanci 19"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,57,"Vaško-gasilski dom Andrejci, Andrejci 17"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,58,"Vaško-gasilski dom Krnci, Krnci 20a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,59,"Vaško-gasilski dom Noršinci, Noršinci 3b"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,60,"Vaško-gasilski dom Sebeborci, Sebeborci 45"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,61,"Stari gasilski dom Prosenjakovci,Prosenjakovci 21"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,62,"Vaško-gasilski dom Berkovci, Berkovci 13"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,63,"Vaško-gasilski dom Čikečka vas,Čikečka vas 20"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,64,"Vaško-gasilski dom Ivanjševci, Ivanjševci 12"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,65,"Vaško-gasilski dom Motvarjevci, Motvarjevci 47"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,66,"Vaški dom Pordašinci, Pordašinci 10"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,67,"Vaško - gasilski dom Središče, Središče 11"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,68,"Vaško-gasilski dom Ratkovci, Ratkovci 20a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,69,"Vaško-gasilski dom Ivanovci, Ivanovci 26a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,70,"Vaško-gasilski dom Kančevci, Kančevci 8a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,71,"Vaško-gasilski dom Lončarovci,Lončarovci 39a"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,72,"Vaško-gasilski dom Selo, Selo 32b"
VE 8000 - PTUJ,VO 8004 - MURSKA SOBOTA 1,73,"Osnovna šola Fokovci, Fokovci 32"
