,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Mandati,ZELENI-N,ZELENI-%,DESUS-N,DESUS-%,DD-N,DD-%,GAS-N,GAS-%,ZSI-N,ZSI-%,GSN-N,GSN-%,ZDRUŽENA DESNICA-N,ZDRUŽENA DESNICA-%,LEVICA-N,LEVICA-%,LMŠ-N,LMŠ-%,LNBP-N,LNBP-%,NPS-N,NPS-%,NSI-N,NSI-%,PIRATI-N,PIRATI-%,ReSET-N,ReSET-%,SDS-N,SDS-%,SLS-N,SLS-%,SNS-N,SNS-%,SMC-N,SMC-%,SPS-N,SPS-%,SD-N,SD-%,SOLIDARNOST-N,SOLIDARNOST-%,SSN-N,SSN-%,SAB-N,SAB-%,ZD-N,ZD-%
0,1,Kranj,1,Jesenice,26612,11924,0.4481,11924,11759,165,1.0,0,68.0,0.0058,640,0.0544,176,0.015,31,0.0026,84,0.0071,68,0.0058,,,1249,0.1062,1759,0.1496,138,0.0117,45.0,0.0038,646,0.0549,319,0.0271,,,2739,0.2329,134,0.0114,462,0.0393,1012,0.0861,65.0,0.0055,1044,0.0888,36,0.0031,18.0,0.0015,855,0.0727,89,0.0076
1,1,Kranj,2,Radovljica 1,13709,7770,0.5668,7769,7666,103,1.0,1,47.0,0.0061,347,0.0453,105,0.0137,20,0.0026,34,0.0044,22,0.0029,,,600,0.0783,1042,0.1359,62,0.0081,13.0,0.0017,542,0.0707,205,0.0267,,,1840,0.24,130,0.017,266,0.0347,609,0.0794,23.0,0.003,595,0.0776,15,0.002,17.0,0.0022,1055,0.1376,54,0.007
2,1,Kranj,3,Radovljica 2,15967,8756,0.5484,8756,8673,83,1.0,0,66.0,0.0076,281,0.0324,174,0.0201,19,0.0022,67,0.0077,54,0.0062,,,871,0.1004,1305,0.1505,97,0.0112,20.0,0.0023,577,0.0665,306,0.0353,,,2046,0.2359,89,0.0103,391,0.0451,750,0.0865,25.0,0.0029,719,0.0829,20,0.0023,17.0,0.002,642,0.074,89,0.0103
3,1,Kranj,4,Kranj 1,20685,10981,0.5309,10980,10834,146,1.0,1,92.0,0.0085,486,0.0449,198,0.0183,41,0.0038,91,0.0084,37,0.0034,,,1173,0.1083,1535,0.1417,116,0.0107,27.0,0.0025,757,0.0699,311,0.0287,,,2401,0.2216,95,0.0088,356,0.0329,967,0.0893,24.0,0.0022,808,0.0746,15,0.0014,18.0,0.0017,1137,0.1049,75,0.0069
4,1,Kranj,5,Kranj 2,20749,11051,0.5326,11050,10928,122,1.0,1,76.0,0.007,448,0.041,185,0.0169,19,0.0017,92,0.0084,42,0.0038,,,1141,0.1044,1449,0.1326,92,0.0084,20.0,0.0018,828,0.0758,317,0.029,,,2410,0.2205,157,0.0144,416,0.0381,994,0.091,25.0,0.0023,770,0.0705,19,0.0017,16.0,0.0015,1274,0.1166,71,0.0065
5,1,Kranj,6,Kranj 3,23913,14518,0.6071,14517,14349,168,1.0,2,100.0,0.007,401,0.0279,287,0.02,80,0.0056,100,0.007,32,0.0022,,,889,0.062,2241,0.1562,135,0.0094,23.0,0.0016,1443,0.1006,405,0.0282,,,4405,0.307,501,0.0349,546,0.0381,1010,0.0704,17.0,0.0012,778,0.0542,19,0.0013,28.0,0.002,757,0.0528,99,0.0069
6,1,Kranj,7,Tržič,12697,6762,0.5326,6762,6652,110,1.0,1,45.0,0.0068,394,0.0592,331,0.0498,32,0.0048,35,0.0053,17,0.0026,,,542,0.0815,1022,0.1536,67,0.0101,18.0,0.0027,415,0.0624,155,0.0233,,,1790,0.2691,86,0.0129,218,0.0328,570,0.0857,13.0,0.002,466,0.0701,6,0.0009,10.0,0.0015,352,0.0529,47,0.0071
7,1,Kranj,8,Škofja Loka 1,18573,10903,0.587,10903,10776,127,1.0,1,92.0,0.0085,309,0.0287,147,0.0136,28,0.0026,40,0.0037,41,0.0038,,,1479,0.1372,1357,0.1259,95,0.0088,21.0,0.0019,1074,0.0997,235,0.0218,,,3193,0.2963,247,0.0229,289,0.0268,818,0.0759,19.0,0.0018,634,0.0588,17,0.0016,18.0,0.0017,486,0.0451,79,0.0073
8,1,Kranj,9,Škofja Loka 2,15437,9361,0.6064,9360,9236,124,1.0,1,80.0,0.0087,212,0.023,104,0.0113,22,0.0024,65,0.007,39,0.0042,,,690,0.0747,1199,0.1298,66,0.0071,,,1117,0.1209,184,0.0199,,,3252,0.3521,514,0.0557,245,0.0265,530,0.0574,6.0,0.0006,520,0.0563,18,0.0019,11.0,0.0012,300,0.0325,45,0.0049
9,1,Kranj,10,Kamnik,27964,17139,0.6129,17136,16962,174,1.0,2,59.0,0.0035,419,0.0247,160,0.0094,27,0.0016,42,0.0025,47,0.0028,,,1042,0.0614,6160,0.3632,109,0.0064,,,2480,0.1462,278,0.0164,,,3140,0.1851,219,0.0129,321,0.0189,1039,0.0613,31.0,0.0018,656,0.0387,12,0.0007,13.0,0.0008,592,0.0349,73,0.0043
