,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SMC-N,SMC-%,Zsi-N,Zsi-%,ZELENI-N,ZELENI-%,DD-N,DD-%,SNS-N,SNS-%,POVEŽIMO SE-N,POVEŽIMO SE-%,LMŠ-N,LMŠ-%,NSI-N,NSI-%,SDS_SLS-N,SDS_SLS-%,DOM-N,DOM-%,SD-N,SD-%,LEVICA-N,LEVICA-%,DESUS-N,DESUS-%,SAB-N,SAB-%
0,,,,,1704866,492618,0.2889,492457,482075,10382,1.0,7823,0.0162,3288,0.0068,10706,0.0222,2544,0.0053,19347,0.0401,7980,0.0166,74431,0.1544,53621,0.1112,126534,0.2625,8184,0.017,89936,0.1866,30983,0.0643,27329,0.0567,19369,0.0402
1,1.0,Kranj,,,209401,64087,0.306,64082,62626,1456,1.0,953,0.0152,342,0.0055,1444,0.0231,334,0.0053,1965,0.0314,878,0.014,12572,0.2007,7904,0.1262,16371,0.2614,1540,0.0246,9022,0.1441,3631,0.058,2731,0.0436,2939,0.0469
2,1.0,Kranj,1.0,Jesenice,26374,6627,0.2513,6627,6414,213,1.0,261,0.0407,35,0.0055,146,0.0228,30,0.0047,201,0.0313,61,0.0095,1494,0.2329,525,0.0819,1393,0.2172,183,0.0285,1018,0.1587,394,0.0614,284,0.0443,389,0.0606
3,1.0,Kranj,2.0,Radovljica 1,13600,4468,0.3285,4467,4339,128,1.0,63,0.0145,31,0.0071,128,0.0295,21,0.0048,167,0.0385,56,0.0129,744,0.1715,508,0.1171,999,0.2302,144,0.0332,733,0.1689,239,0.0551,212,0.0489,294,0.0678
4,1.0,Kranj,3.0,Radovljica 2,15877,4938,0.311,4938,4825,113,1.0,89,0.0184,30,0.0062,133,0.0276,34,0.007,196,0.0406,78,0.0162,974,0.2019,539,0.1117,1028,0.2131,102,0.0211,793,0.1644,309,0.064,272,0.0564,248,0.0514
5,1.0,Kranj,4.0,Kranj 1,20555,6039,0.2938,6039,5886,153,1.0,53,0.009,34,0.0058,127,0.0216,36,0.0061,161,0.0274,79,0.0134,1076,0.1828,560,0.0951,1382,0.2348,165,0.028,1041,0.1769,468,0.0795,313,0.0532,391,0.0664
6,1.0,Kranj,5.0,Kranj 2,20671,5906,0.2857,5906,5778,128,1.0,73,0.0126,35,0.0061,132,0.0228,22,0.0038,167,0.0289,92,0.0159,1006,0.1741,580,0.1004,1388,0.2402,159,0.0275,1006,0.1741,441,0.0763,274,0.0474,403,0.0697
7,1.0,Kranj,6.0,Kranj 3,24018,7972,0.3319,7971,7839,132,1.0,110,0.014,50,0.0064,194,0.0247,37,0.0047,289,0.0369,102,0.013,1363,0.1739,1212,0.1546,2428,0.3097,196,0.025,942,0.1202,317,0.0404,308,0.0393,291,0.0371
8,1.0,Kranj,7.0,Tržič,12657,3406,0.2691,3406,3301,105,1.0,53,0.0161,25,0.0076,75,0.0227,47,0.0142,124,0.0376,87,0.0264,685,0.2075,374,0.1133,802,0.243,87,0.0264,432,0.1309,151,0.0457,221,0.0669,138,0.0418
9,1.0,Kranj,8.0,Škofja Loka 1,18578,6174,0.3323,6174,6061,113,1.0,61,0.0101,26,0.0043,162,0.0267,36,0.0059,152,0.0251,72,0.0119,1002,0.1653,764,0.1261,1927,0.3179,133,0.0219,815,0.1345,487,0.0803,213,0.0351,211,0.0348
