,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Mandati,DESUS-N,DESUS-%,DOM-N,DOM-%,RESNICA-N,RESNICA-%,SVOBODA-N,SVOBODA-%,ZSI-N,ZSI-%,LEVICA-N,LEVICA-%,LBP-N,LBP-%,LMŠ-N,LMŠ-%,NAŠA_DEŽELA-N,NAŠA_DEŽELA-%,SNP_DD-N,SNP_DD-%,NESTRANKARSKA-N,NESTRANKARSKA-%,NSI-N,NSI-%,PIRATI-N,PIRATI-%,POVEŽIMO-N,POVEŽIMO-%,SDS-N,SDS-%,SNS-N,SNS-%,SD-N,SD-%,SAB-N,SAB-%,VESNA-N,VESNA-%,ZLS-N,ZLS-%,ZOS-N,ZOS-%
0,,,,,1695796,1203522,0.7097,1203373,1192293,11080,1.0,88,7840,0.0066,2117,0.0018,34107,0.0286,410769,0.3445,168.0,0.0001,53234,0.0446,5174,0.0043,44401,0.0372,17846,0.015,20279,0.017,21021,0.0176,81794,0.0686,19480,0.0163,40612,0.0341,279897,0.2348,17736,0.0149,79709,0.0669,31117,0.0261,16089,0.0135,8340,0.007,563.0,0.0005
1,1.0,Kranj,,,208687,154722,0.7414,154700,153154,1546,1.0,11,762,0.005,430,0.0028,5909,0.0386,48970,0.3197,,,6792,0.0443,451,0.0029,8019,0.0524,1992,0.013,2515,0.0164,3099,0.0202,12980,0.0848,2821,0.0184,5127,0.0335,34599,0.2259,1933,0.0126,8137,0.0531,4862,0.0317,2441,0.0159,1139,0.0074,176.0,0.0011
2,1.0,Kranj,1.0,Jesenice,26220,16988,0.6479,16981,16756,225,1.0,1,129,0.0077,80,0.0048,957,0.0571,5846,0.3489,,,694,0.0414,73,0.0044,702,0.0419,280,0.0167,626,0.0374,341,0.0204,779,0.0465,334,0.0199,462,0.0276,3148,0.1879,194,0.0116,1058,0.0631,670,0.04,225,0.0134,121,0.0072,37.0,0.0022
3,1.0,Kranj,2.0,Radovljica 1,13434,10215,0.7604,10215,10110,105,1.0,0,45,0.0045,48,0.0047,290,0.0287,3191,0.3156,,,498,0.0493,54,0.0053,404,0.04,129,0.0128,154,0.0152,294,0.0291,737,0.0729,184,0.0182,418,0.0413,2196,0.2172,162,0.016,598,0.0591,356,0.0352,216,0.0214,116,0.0115,20.0,0.002
4,1.0,Kranj,3.0,Radovljica 2,15916,11917,0.7487,11916,11790,126,1.0,1,54,0.0046,30,0.0025,530,0.045,4057,0.3441,,,577,0.0489,50,0.0042,562,0.0477,175,0.0148,169,0.0143,411,0.0349,809,0.0686,216,0.0183,248,0.021,2393,0.203,140,0.0119,692,0.0587,340,0.0288,207,0.0176,105,0.0089,25.0,0.0021
5,1.0,Kranj,4.0,Kranj 1,20383,14738,0.7231,14738,14622,116,1.0,1,93,0.0064,46,0.0031,746,0.051,5272,0.3606,,,796,0.0544,31,0.0021,581,0.0397,126,0.0086,183,0.0125,230,0.0157,911,0.0623,277,0.0189,302,0.0207,2821,0.1929,173,0.0118,940,0.0643,726,0.0497,243,0.0166,111,0.0076,14.0,0.001
6,1.0,Kranj,5.0,Kranj 2,20456,14997,0.7331,14995,14862,133,1.0,1,72,0.0048,52,0.0035,855,0.0575,5149,0.3465,,,730,0.0491,26,0.0017,566,0.0381,152,0.0102,206,0.0139,243,0.0164,1069,0.0719,296,0.0199,409,0.0275,2911,0.1959,177,0.0119,813,0.0547,829,0.0558,186,0.0125,111,0.0075,10.0,0.0007
7,1.0,Kranj,6.0,Kranj 3,24293,19276,0.7935,19276,19102,174,1.0,2,63,0.0033,41,0.0021,655,0.0343,5384,0.2819,,,639,0.0335,45,0.0024,807,0.0422,343,0.018,258,0.0135,355,0.0186,2141,0.1121,338,0.0177,1115,0.0584,4927,0.2579,282,0.0148,802,0.042,481,0.0252,288,0.0151,120,0.0063,18.0,0.0009
8,1.0,Kranj,7.0,Tržič,12493,8916,0.7137,8915,8808,107,1.0,1,53,0.006,11,0.0012,378,0.0429,3267,0.3709,,,346,0.0393,41,0.0047,299,0.0339,77,0.0087,158,0.0179,304,0.0345,628,0.0713,165,0.0187,151,0.0171,1909,0.2167,102,0.0116,359,0.0408,216,0.0245,264,0.03,67,0.0076,13.0,0.0015
9,1.0,Kranj,8.0,Škofja Loka 1,18616,14239,0.7649,14237,14112,125,1.0,2,61,0.0043,35,0.0025,422,0.0299,4410,0.3125,,,938,0.0665,28,0.002,478,0.0339,140,0.0099,219,0.0155,256,0.0181,1130,0.0801,270,0.0191,515,0.0365,3753,0.2659,175,0.0124,594,0.0421,348,0.0247,238,0.0169,89,0.0063,13.0,0.0009
