,Volilna enota,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,LOGAR-N,LOGAR-%,NATAŠA-N,NATAŠA-%
0,,,1694379,908138,0.536,908065,897841,10224,1.0,414029,0.461138,483812,0.538862
1,VE 1000 - KRANJ,,208531,117339,0.5627,117335,115840,1495,1.0,55561,0.479636,60279,0.520364
2,VE 1000 - KRANJ,Jesenice,26214,11921,0.4548,11921,11751,170,1.0,4571,0.388988,7180,0.611012
3,VE 1000 - KRANJ,Radovljica 1,13415,7818,0.5828,7818,7684,134,1.0,3563,0.463691,4121,0.536309
4,VE 1000 - KRANJ,Radovljica 2,15913,8747,0.5497,8747,8615,132,1.0,3787,0.439582,4828,0.560418
5,VE 1000 - KRANJ,Kranj 1,20391,10811,0.5302,10810,10680,130,1.0,4387,0.410768,6293,0.589232
6,VE 1000 - KRANJ,Kranj 2,20380,10936,0.5366,10936,10811,125,1.0,4647,0.42984,6164,0.57016
7,VE 1000 - KRANJ,Kranj 3,24306,15138,0.6228,15136,14951,185,1.0,8479,0.567119,6472,0.432881
8,VE 1000 - KRANJ,Tržič,12440,6560,0.5273,6560,6482,78,1.0,2867,0.442302,3615,0.557698
9,VE 1000 - KRANJ,Škofja Loka 1,18618,11226,0.603,11226,11095,131,1.0,5707,0.514376,5388,0.485624
10,VE 1000 - KRANJ,Škofja Loka 2,15412,9966,0.6466,9966,9857,109,1.0,6289,0.638024,3568,0.361976
11,VE 1000 - KRANJ,Kamnik,27971,16369,0.5852,16368,16194,174,1.0,7461,0.460726,8733,0.539274
12,VE 1000 - KRANJ,Idrija,13471,7847,0.5825,7847,7720,127,1.0,3803,0.492617,3917,0.507383
13,VE 2000 - POSTOJNA,,209212,107154,0.5122,107150,105521,1629,1.0,44110,0.418021,61411,0.581979
14,VE 2000 - POSTOJNA,Tolmin,16003,9067,0.5666,9067,8934,133,1.0,4688,0.524737,4246,0.475263
15,VE 2000 - POSTOJNA,Piran,14638,5996,0.4096,5996,5909,87,1.0,2035,0.34439,3874,0.65561
16,VE 2000 - POSTOJNA,Izola,12590,5938,0.4716,5938,5858,80,1.0,1743,0.297542,4115,0.702458
17,VE 2000 - POSTOJNA,Koper 1,18485,8001,0.4328,8001,7895,106,1.0,2083,0.263838,5812,0.736162
18,VE 2000 - POSTOJNA,Koper 2,25072,11845,0.4724,11845,11663,182,1.0,3766,0.322901,7897,0.677099
19,VE 2000 - POSTOJNA,Sežana,22025,11340,0.5149,11338,11117,221,1.0,3901,0.350904,7216,0.649096
20,VE 2000 - POSTOJNA,Ilirska Bistrica,12687,6116,0.4821,6116,6017,99,1.0,3072,0.510553,2945,0.489447
21,VE 2000 - POSTOJNA,Postojna,18134,9273,0.5114,9273,9122,151,1.0,4084,0.447709,5038,0.552291
22,VE 2000 - POSTOJNA,Nova Gorica 1,25083,14339,0.5717,14339,14128,211,1.0,6716,0.475368,7412,0.524632
23,VE 2000 - POSTOJNA,Nova Gorica 2,23825,12908,0.5418,12906,12717,189,1.0,4838,0.380436,7879,0.619564
24,VE 2000 - POSTOJNA,Ajdovščina,20670,12331,0.5966,12331,12161,170,1.0,7184,0.590741,4977,0.409259
25,VE 3000 - LJUBLJANA CENTER,,219774,123964,0.5641,123958,122319,1639,1.0,49666,0.406037,72653,0.593963
26,VE 3000 - LJUBLJANA CENTER,Logatec,25077,14933,0.5955,14933,14774,159,1.0,7317,0.495262,7457,0.504738
27,VE 3000 - LJUBLJANA CENTER,Vrhnika,20113,11969,0.5951,11968,11769,199,1.0,5073,0.431048,6696,0.568952
28,VE 3000 - LJUBLJANA CENTER,Ljubljana Vič-Rudnik 1,25621,14984,0.5848,14984,14795,189,1.0,7113,0.480771,7682,0.519229
29,VE 3000 - LJUBLJANA CENTER,Ljubljana Vič-Rudnik 2,16820,9145,0.5437,9144,9042,102,1.0,3392,0.375138,5650,0.624862
30,VE 3000 - LJUBLJANA CENTER,Ljubljana Vič-Rudnik 3,16562,9489,0.5729,9488,9369,119,1.0,2945,0.314335,6424,0.685665
31,VE 3000 - LJUBLJANA CENTER,Ljubljana Vič-Rudnik 4,21873,13048,0.5965,13046,12895,151,1.0,6305,0.488949,6590,0.511051
32,VE 3000 - LJUBLJANA CENTER,Ljubljana Center,22130,10269,0.464,10269,10058,211,1.0,3076,0.305826,6982,0.694174
33,VE 3000 - LJUBLJANA CENTER,Ljubljana Šiška 1,14035,7409,0.5279,7408,7314,94,1.0,2020,0.276183,5294,0.723817
34,VE 3000 - LJUBLJANA CENTER,Ljubljana Šiška 2,18050,9719,0.5384,9719,9586,133,1.0,3026,0.315669,6560,0.684331
35,VE 3000 - LJUBLJANA CENTER,Ljubljana Šiška 3,16915,9461,0.5593,9461,9327,134,1.0,3413,0.365927,5914,0.634073
36,VE 3000 - LJUBLJANA CENTER,Ljubljana Šiška 4,22578,13538,0.5996,13538,13390,148,1.0,5986,0.44705,7404,0.55295
37,VE 4000 - LJUBLJANA BEŽIGRAD,,208416,113445,0.5443,113436,111856,1580,1.0,47753,0.426915,64103,0.573085
38,VE 4000 - LJUBLJANA BEŽIGRAD,Kočevje,14239,6379,0.448,6378,6278,100,1.0,2460,0.391845,3818,0.608155
39,VE 4000 - LJUBLJANA BEŽIGRAD,Ribnica-Dobrepolje,14540,8200,0.564,8200,8103,97,1.0,5407,0.667284,2696,0.332716
40,VE 4000 - LJUBLJANA BEŽIGRAD,Grosuplje,15920,9155,0.5751,9153,9041,112,1.0,5055,0.55912,3986,0.44088
41,VE 4000 - LJUBLJANA BEŽIGRAD,Ivančna Gorica,13179,7820,0.5934,7820,7730,90,1.0,4874,0.63053,2856,0.36947
42,VE 4000 - LJUBLJANA BEŽIGRAD,Ljubljana Moste-Polje 1,23280,12555,0.5393,12554,12374,180,1.0,5065,0.409326,7309,0.590674
43,VE 4000 - LJUBLJANA BEŽIGRAD,Ljubljana Moste-Polje 2,15280,7074,0.463,7074,6992,82,1.0,1884,0.269451,5108,0.730549
44,VE 4000 - LJUBLJANA BEŽIGRAD,Ljubljana Moste-Polje 3,20158,9919,0.4921,9919,9759,160,1.0,3154,0.323189,6605,0.676811
45,VE 4000 - LJUBLJANA BEŽIGRAD,Ljubljana Bežigrad 1,23304,13290,0.5703,13288,13093,195,1.0,4780,0.365081,8313,0.634919
46,VE 4000 - LJUBLJANA BEŽIGRAD,Ljubljana Bežigrad 2,21084,11019,0.5226,11019,10856,163,1.0,3149,0.29007,7707,0.70993
47,VE 4000 - LJUBLJANA BEŽIGRAD,Domžale 1,24565,14786,0.6019,14785,14590,195,1.0,6826,0.467855,7764,0.532145
48,VE 4000 - LJUBLJANA BEŽIGRAD,Domžale 2,22867,13248,0.5794,13246,13040,206,1.0,5099,0.391028,7941,0.608972
49,VE 5000 - CELJE,,211551,113674,0.5373,113668,112654,1014,1.0,56889,0.504989,55765,0.495011
50,VE 5000 - CELJE,Šentjur,17042,9301,0.5458,9301,9226,75,1.0,5514,0.597659,3712,0.402341
51,VE 5000 - CELJE,Celje 1,29368,15234,0.5187,15234,15085,149,1.0,8058,0.534173,7027,0.465827
52,VE 5000 - CELJE,Celje 2,21703,10420,0.4801,10420,10295,125,1.0,4254,0.41321,6041,0.58679
53,VE 5000 - CELJE,Žalec 1,18069,9947,0.5505,9946,9854,92,1.0,5108,0.518368,4746,0.481632
54,VE 5000 - CELJE,Žalec 2,18677,10862,0.5816,10862,10743,119,1.0,5419,0.504421,5324,0.495579
55,VE 5000 - CELJE,Mozirje,13671,7916,0.579,7916,7844,72,1.0,4786,0.610148,3058,0.389852
56,VE 5000 - CELJE,Velenje 1,16212,8234,0.5079,8234,8165,69,1.0,3601,0.441029,4564,0.558971
57,VE 5000 - CELJE,Velenje 2,17412,9396,0.5396,9396,9293,103,1.0,5129,0.551921,4164,0.448079
58,VE 5000 - CELJE,Slovenj Gradec,17983,10137,0.5637,10133,10070,63,1.0,4713,0.468024,5357,0.531976
59,VE 5000 - CELJE,Ravne na Koroškem,20835,11210,0.538,11210,11133,77,1.0,5098,0.457918,6035,0.542082
60,VE 5000 - CELJE,Radlje,20579,11017,0.5354,11016,10946,70,1.0,5209,0.475882,5737,0.524118
61,VE 6000 - NOVO MESTO,,218165,116095,0.5321,116086,114930,1156,1.0,54292,0.472392,60638,0.527608
62,VE 6000 - NOVO MESTO,Črnomelj,22786,11291,0.4955,11291,11170,121,1.0,5253,0.470278,5917,0.529722
63,VE 6000 - NOVO MESTO,Novo mesto 1,24406,13790,0.565,13789,13674,115,1.0,8306,0.60743,5368,0.39257
64,VE 6000 - NOVO MESTO,Novo mesto 2,25666,14101,0.5494,14098,13959,139,1.0,6029,0.431908,7930,0.568092
65,VE 6000 - NOVO MESTO,Trebnje,16917,9609,0.568,9609,9500,109,1.0,5545,0.583684,3955,0.416316
66,VE 6000 - NOVO MESTO,Brežice,21233,9999,0.4709,9999,9896,103,1.0,4317,0.436237,5579,0.563763
67,VE 6000 - NOVO MESTO,Krško,23340,12018,0.5149,12018,11922,96,1.0,5980,0.501594,5942,0.498406
68,VE 6000 - NOVO MESTO,Sevnica,17061,9065,0.5313,9065,8978,87,1.0,4866,0.541992,4112,0.458008
69,VE 6000 - NOVO MESTO,Laško,14802,7898,0.5336,7895,7805,90,1.0,3750,0.480461,4055,0.519539
70,VE 6000 - NOVO MESTO,Litija,17191,9930,0.5776,9928,9831,97,1.0,4681,0.476147,5150,0.523853
71,VE 6000 - NOVO MESTO,Hrastnik-Trbovlje,21081,10861,0.5152,10861,10740,121,1.0,3016,0.280819,7724,0.719181
72,VE 6000 - NOVO MESTO,Zagorje,13682,7533,0.5506,7533,7455,78,1.0,2549,0.341918,4906,0.658082
73,VE 7000 - MARIBOR,,207870,103001,0.4955,102994,102116,878,1.0,48123,0.471258,53993,0.528742
74,VE 7000 - MARIBOR,Šmarje pri Jelšah,27770,12948,0.4663,12948,12874,74,1.0,7683,0.596784,5191,0.403216
75,VE 7000 - MARIBOR,Slovenska Bistrica,25266,13757,0.5445,13757,13642,115,1.0,7546,0.553145,6096,0.446855
76,VE 7000 - MARIBOR,Slovenske Konjice,19040,10651,0.5594,10651,10569,82,1.0,6216,0.588135,4353,0.411865
77,VE 7000 - MARIBOR,Ruše,12694,6321,0.498,6321,6272,49,1.0,2663,0.424585,3609,0.575415
78,VE 7000 - MARIBOR,Maribor 1,23533,12082,0.5134,12082,11993,89,1.0,5141,0.428667,6852,0.571333
79,VE 7000 - MARIBOR,Maribor 2,21221,10833,0.5105,10832,10741,91,1.0,4839,0.450517,5902,0.549483
80,VE 7000 - MARIBOR,Maribor 3,17389,8251,0.4745,8248,8184,64,1.0,4037,0.49328,4147,0.50672
