,Volilna enota,Volilni_Okraj,ID Volišča,Volišče,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,dr. Anže Logar- št. glasov,dr. Anže Logar- odstotek,Nataša Pirc Musar- št. glasov,Nataša Pirc Musar- odstotek
0,VE 1000 - KRANJ,VO 1001 - JESENICE,1,"Vrtec Rateče, Rateče 18, Rateče",542,328,0.6052,328,327,1,1.0,166,0.507645,161,0.492355
1,VE 1000 - KRANJ,VO 1001 - JESENICE,2,"KS Podkoren, Podkoren 15, Podkoren",343,188,0.5481,188,186,2,1.0,99,0.532258,87,0.467742
2,VE 1000 - KRANJ,VO 1001 - JESENICE,3,"Občina Kr.Gora, Kolodvorska ul.1b, Kr. Gora",651,314,0.4823,314,310,4,1.0,142,0.458065,168,0.541935
3,VE 1000 - KRANJ,VO 1001 - JESENICE,4,"OŠ Kr. Gora, Koroška ul. 12, Kr. Gora",627,294,0.4689,294,285,9,1.0,110,0.385965,175,0.614035
4,VE 1000 - KRANJ,VO 1001 - JESENICE,5,"GD Gozd Martuljek, Zg. Rute 85, Gozd Martuljek",588,281,0.4779,281,279,2,1.0,132,0.473118,147,0.526882
5,VE 1000 - KRANJ,VO 1001 - JESENICE,6,"KD Dovje, Dovje 109, Dovje",523,286,0.5468,286,280,6,1.0,132,0.471429,148,0.528571
6,VE 1000 - KRANJ,VO 1001 - JESENICE,7,"OŠ 16.december Mojstrana ,Ul. A. Rabiča 7",1026,554,0.54,554,551,3,1.0,234,0.424682,317,0.575318
7,VE 1000 - KRANJ,VO 1001 - JESENICE,8,"Hiša Pri Požrvu, Zg. Radovna 10, Zg .Radovna",51,31,0.6078,31,31,0,1.0,12,0.387097,19,0.612903
8,VE 1000 - KRANJ,VO 1001 - JESENICE,9,"PGD Hrušica, Hrušica13, Hrušica",231,109,0.4719,109,104,5,1.0,37,0.355769,67,0.644231
9,VE 1000 - KRANJ,VO 1001 - JESENICE,10,"KD Hrušica, Hrušica 55A, Hrušica ",1058,473,0.4471,473,466,7,1.0,185,0.396996,281,0.603004
10,VE 1000 - KRANJ,VO 1001 - JESENICE,11,"KS Pl. pod Golico,Pl. pod Golico 31,Pl.pod Golico",336,190,0.5655,190,187,3,1.0,104,0.55615,83,0.44385
11,VE 1000 - KRANJ,VO 1001 - JESENICE,12,"Hiša Klinar Štefan, Plavški Rovt 14, Plavški Rovt",74,38,0.5135,38,37,1,1.0,23,0.621622,14,0.378378
12,VE 1000 - KRANJ,VO 1001 - JESENICE,13,"DU dr.F.Bergelja,stavba C,Ul. S.Bokala 4,Jesenice",574,212,0.3693,212,206,6,1.0,53,0.257282,153,0.742718
13,VE 1000 - KRANJ,VO 1001 - JESENICE,14,"Zdravstveni dom, C. m.Tita 78, Jesenice",1073,417,0.3886,417,414,3,1.0,134,0.323671,280,0.676329
14,VE 1000 - KRANJ,VO 1001 - JESENICE,15,"OŠ T. Čufar, C. C. Tavčarja 21,  Jesenice",1196,419,0.3503,419,411,8,1.0,113,0.274939,298,0.725061
15,VE 1000 - KRANJ,VO 1001 - JESENICE,16,"JEKO d.o.o., C. m. Tita 51, Jesenice",1211,473,0.3906,473,462,11,1.0,156,0.337662,306,0.662338
16,VE 1000 - KRANJ,VO 1001 - JESENICE,17,"Vrtec A.Ocepek, C. C. Tavčarja 3A, Jesenice",1103,440,0.3989,440,433,7,1.0,105,0.242494,328,0.757506
17,VE 1000 - KRANJ,VO 1001 - JESENICE,18,"KS Sava, Pod gozdom 2, Jesenice",830,353,0.4253,353,353,0,1.0,123,0.348442,230,0.651558
18,VE 1000 - KRANJ,VO 1001 - JESENICE,19,"OŠ P. Voranca, C. T. Tomšiča 5, Jesenice",382,196,0.5131,196,190,6,1.0,77,0.405263,113,0.594737
19,VE 1000 - KRANJ,VO 1001 - JESENICE,20,"OŠ P. Voranca, C.T. Tomšiča 5, Jesenice",502,151,0.3008,151,151,0,1.0,33,0.218543,118,0.781457
20,VE 1000 - KRANJ,VO 1001 - JESENICE,21,"OŠ P. Stražišarja, Ul. V.Kejžarja 35, Jesenice",441,155,0.3515,155,153,2,1.0,38,0.248366,115,0.751634
21,VE 1000 - KRANJ,VO 1001 - JESENICE,22,"Srednja šola, Ul. b. Rupar 2, Jesenice",667,188,0.2819,188,186,2,1.0,41,0.22043,145,0.77957
22,VE 1000 - KRANJ,VO 1001 - JESENICE,23,"Zavod za šport,sejna soba,Ledarska ul.6A,Jesenice",383,125,0.3264,125,122,3,1.0,44,0.360656,78,0.639344
