,Volilna_Enota,Volilni_Okraj,Volilni_Okraj_Ime,Št. volilnih upr.,Udelezba-N,Udelezba-%,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SVOBODA-N,SVOBODA-%,SDS-N,SDS-%,VESNA-N,VESNA-%,DESUS IN DD-N,DESUS IN DD-%,SLS-N,SLS-%,NSI-N,NSI-%,LEVICA-N,LEVICA-%,ZELENI-N,ZELENI-%,SD-N,SD-%,RESNICA-N,RESNICA-%,NOT-N,NOT-%
0,,,,1689602,706204,0.418,705941,674759,31182,1.0,149200,0.221116,206386,0.305866,71023,0.105257,14980,0.022201,48637,0.072081,51812,0.076786,32436,0.04807,10865,0.016102,52390,0.077643,26767,0.039669,10263,0.01521
1,1.0,,,208092,93602,0.4498,93561,89145,4416,1.0,18822,0.211139,27305,0.306299,9452,0.10603,2153,0.024152,7682,0.086174,7657,0.085894,3842,0.043098,1331,0.014931,5079,0.056975,4545,0.050984,1277,0.014325
2,1.0,1.0,Jesenice,25955,9170,0.3533,9168,8633,535,1.0,2617,0.303139,2276,0.26364,748,0.086644,196,0.022704,538,0.062319,455,0.052705,400,0.046334,136,0.015754,594,0.068806,527,0.061045,146,0.016912
3,1.0,2.0,Radovljica 1,13412,6318,0.4711,6318,6004,314,1.0,1241,0.206696,1833,0.305296,685,0.114091,170,0.028314,490,0.081612,489,0.081446,256,0.042638,96,0.015989,363,0.06046,280,0.046636,101,0.016822
4,1.0,3.0,Radovljica 2,15875,7214,0.4544,7214,6833,381,1.0,1508,0.220694,1911,0.279672,886,0.129665,196,0.028684,393,0.057515,521,0.076248,292,0.042734,141,0.020635,461,0.067467,404,0.059125,120,0.017562
5,1.0,4.0,Kranj 1,20255,8638,0.4265,8614,8211,403,1.0,1815,0.221045,2163,0.263427,1018,0.12398,229,0.027889,581,0.070759,481,0.05858,496,0.060407,131,0.015954,579,0.070515,588,0.071611,130,0.015832
6,1.0,5.0,Kranj 2,20322,8850,0.4355,8850,8422,428,1.0,1815,0.215507,2296,0.272619,905,0.107457,207,0.024578,728,0.08644,590,0.070055,432,0.051294,134,0.015911,525,0.062337,661,0.078485,129,0.015317
7,1.0,6.0,Kranj 3,24388,12360,0.5068,12355,11832,523,1.0,1899,0.160497,4133,0.349307,1162,0.098208,193,0.016312,1508,0.127451,1073,0.090686,384,0.032454,152,0.012847,552,0.046653,613,0.051809,163,0.013776
8,1.0,7.0,Tržič,12396,5027,0.4055,5022,4709,313,1.0,1072,0.227649,1426,0.302824,736,0.156296,89,0.0189,288,0.061159,289,0.061372,167,0.035464,56,0.011892,239,0.050754,271,0.057549,76,0.016139
9,1.0,8.0,Škofja Loka 1,18652,9054,0.4854,9054,8675,379,1.0,1658,0.191124,2936,0.338444,974,0.112277,164,0.018905,848,0.097752,642,0.074006,489,0.056369,125,0.014409,416,0.047954,325,0.037464,98,0.011297
10,2.0,9.0,Škofja Loka 2,15430,8103,0.5251,8102,7801,301,1.0,1011,0.129599,3331,0.426997,566,0.072555,171,0.02192,919,0.117805,703,0.090117,267,0.034226,86,0.011024,386,0.049481,278,0.035636,83,0.01064
11,2.0,10.0,Kamnik,28081,12680,0.4516,12676,12208,468,1.0,2997,0.245495,3197,0.261877,1253,0.102638,219,0.017939,874,0.071592,1920,0.157274,475,0.038909,172,0.014089,552,0.045216,396,0.032438,153,0.012533
12,2.0,11.0,Idrija,13326,6171,0.4631,6171,5800,371,1.0,1186,0.204483,1794,0.30931,519,0.089483,318,0.054828,514,0.088621,493,0.085,184,0.031724,102,0.017586,410,0.07069,202,0.034828,78,0.013448
13,2.0,,,208571,84946,0.4073,84916,80408,4508,1.0,20249,0.251828,21276,0.264601,7094,0.088225,2229,0.027721,5587,0.069483,5264,0.065466,4110,0.051114,1647,0.020483,8495,0.105649,2990,0.037185,1467,0.018244
14,2.0,1.0,Tolmin,15812,7535,0.4765,7535,7177,358,1.0,1872,0.260833,2336,0.325484,525,0.07315,193,0.026891,616,0.08583,606,0.084436,181,0.025219,63,0.008778,472,0.065766,202,0.028145,111,0.015466
