,Volilna_Enota,Volilni_Okraj,Volilni_Okraj_Ime,Št. volilnih upr.,Udelezba-N,Udelezba-%,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,ZA-N,ZA-%,PROTI-N,PROTI-%
0,,,,1695039,696341,0.4108,696294,693849,2445,1.0,323047,0.465587,370802,0.534413
1,1.0,,,208882,93992,0.45,93991,93613,378,1.0,41380,0.442033,52233,0.557967
2,1.0,1.0,Jesenice,26003,8524,0.3278,8524,8486,38,1.0,4467,0.526396,4019,0.473604
3,1.0,2.0,Radovljica 1,13466,6095,0.4526,6095,6068,27,1.0,2854,0.470336,3214,0.529664
4,1.0,3.0,Radovljica 2,15994,7081,0.4427,7081,7052,29,1.0,3711,0.526234,3341,0.473766
5,1.0,4.0,Kranj 1,20281,8458,0.417,8458,8421,37,1.0,4387,0.52096,4034,0.47904
6,1.0,5.0,Kranj 2,20453,8686,0.4247,8686,8666,20,1.0,4241,0.489384,4425,0.510616
7,1.0,6.0,Kranj 3,24640,12952,0.5256,12952,12905,47,1.0,4876,0.377838,8029,0.622162
8,1.0,7.0,Tržič,12369,5009,0.405,5009,4995,14,1.0,2455,0.491491,2540,0.508509
9,1.0,8.0,Škofja Loka 1,18686,9327,0.4991,9326,9281,45,1.0,3733,0.40222,5548,0.59778
10,1.0,9.0,Škofja Loka 2,15538,8545,0.5499,8545,8510,35,1.0,2449,0.287779,6061,0.712221
11,1.0,10.0,Kamnik,28207,13196,0.4678,13196,13151,45,1.0,5621,0.42742,7530,0.57258
12,1.0,11.0,Idrija,13245,6054,0.4571,6054,6013,41,1.0,2544,0.423083,3469,0.576917
13,2.0,,,209195,80905,0.3867,80899,80479,420,1.0,39787,0.494377,40692,0.505623
14,2.0,1.0,Tolmin,15751,7131,0.4527,7131,7095,36,1.0,2795,0.393939,4300,0.606061
15,2.0,2.0,Piran,14546,4400,0.3025,4397,4375,22,1.0,2804,0.640914,1571,0.359086
16,2.0,3.0,Izola,12501,4282,0.3425,4280,4266,14,1.0,2674,0.626817,1592,0.373183
17,2.0,4.0,Koper 1,18315,5860,0.32,5860,5842,18,1.0,3782,0.647381,2060,0.352619
18,2.0,5.0,Koper 2,25479,8717,0.3421,8717,8678,39,1.0,4920,0.566951,3758,0.433049
19,2.0,6.0,Sežana,22330,8268,0.3703,8268,8220,48,1.0,4508,0.548418,3712,0.451582
20,2.0,7.0,Ilirska Bistrica,12643,4369,0.3456,4369,4342,27,1.0,1819,0.418931,2523,0.581069
21,2.0,8.0,Postojna,18101,7072,0.3907,7072,7037,35,1.0,3195,0.454029,3842,0.545971
22,2.0,9.0,Nova Gorica 1,24939,10749,0.431,10749,10685,64,1.0,4752,0.444736,5933,0.555264
23,2.0,10.0,Nova Gorica 2,23827,9571,0.4017,9571,9513,58,1.0,5299,0.557027,4214,0.442973
24,2.0,11.0,Ajdovščina,20763,10445,0.5031,10444,10388,56,1.0,3219,0.309877,7169,0.690123
25,3.0,,,221553,99551,0.4493,99539,99167,372,1.0,51858,0.522936,47309,0.477064
26,3.0,1.0,Logatec,25267,11923,0.4719,11915,11860,55,1.0,4761,0.401433,7099,0.598567
27,3.0,2.0,Vrhnika,20400,9634,0.4723,9634,9588,46,1.0,4598,0.479558,4990,0.520442
28,3.0,3.0,Ljubljana Vič-Rudnik 1,26243,12356,0.4708,12356,12315,41,1.0,5598,0.454568,6717,0.545432
29,3.0,4.0,Ljubljana Vič-Rudnik 2,17061,7278,0.4266,7277,7251,26,1.0,4124,0.568749,3127,0.431251
30,3.0,5.0,Ljubljana Vič-Rudnik 3,16498,7428,0.4502,7426,7399,27,1.0,4543,0.614002,2856,0.385998
31,3.0,6.0,Ljubljana Vič-Rudnik 4,22079,10562,0.4784,10562,10523,39,1.0,4671,0.443885,5852,0.556115
32,3.0,7.0,Ljubljana Center,22124,8036,0.3632,8036,8014,22,1.0,5151,0.64275,2863,0.35725
33,3.0,8.0,Ljubljana Šiška 1,13902,5719,0.4114,5719,5696,23,1.0,3787,0.664853,1909,0.335147
34,3.0,9.0,Ljubljana Šiška 2,18178,7904,0.4348,7904,7878,26,1.0,4962,0.629855,2916,0.370145
35,3.0,10.0,Ljubljana Šiška 3,16751,7469,0.4459,7468,7455,13,1.0,4273,0.573172,3182,0.426828
36,3.0,11.0,Ljubljana Šiška 4,23050,11198,0.4858,11198,11144,54,1.0,5362,0.481156,5782,0.518844
37,4.0,,,209881,90548,0.4314,90540,90212,328,1.0,43194,0.478805,47018,0.521195
38,4.0,1.0,Kočevje,14091,4407,0.3128,4406,4394,12,1.0,2239,0.509558,2155,0.490442
39,4.0,2.0,Ribnica-Dobrepolje,14613,6811,0.4661,6811,6789,22,1.0,1797,0.264693,4992,0.735307
40,4.0,3.0,Grosuplje,16333,7613,0.4661,7613,7590,23,1.0,2821,0.371673,4769,0.628327
41,4.0,4.0,Ivančna Gorica,13429,6620,0.493,6620,6592,28,1.0,1925,0.292021,4667,0.707979
42,4.0,5.0,Ljubljana Moste-Polje 1,23413,9919,0.4237,9918,9880,38,1.0,4819,0.487753,5061,0.512247
43,4.0,6.0,Ljubljana Moste-Polje 2,14874,5308,0.3569,5306,5293,13,1.0,3053,0.5768,2240,0.4232
44,4.0,7.0,Ljubljana Moste-Polje 3,19970,7673,0.3842,7673,7638,35,1.0,4292,0.561927,3346,0.438073
45,4.0,8.0,Ljubljana Bežigrad 1,23605,10867,0.4604,10867,10816,51,1.0,6222,0.575259,4594,0.424741
46,4.0,9.0,Ljubljana Bežigrad 2,21553,8500,0.3944,8498,8471,27,1.0,5470,0.645732,3001,0.354268
