,Volilna enota,Volilni_Okraj,ID Volišča,Volišče,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Glasovi ZA,Odstotek glasov ZA,Glasovi PROTI,Odstotek glasov PROTI
0,VE 1000 - KRANJ,VO 1000 - KRANJ,9701000,OMNIA od: 1000,0,0,0.0,0,0,0,,0,0.0,0,0.0
1,VE 1000 - KRANJ,VO 1000 - KRANJ,9971000,Po pošti v Sloveniji VKVE,0,32,0.0,32,32,0,1.0,18,0.5625,14,0.4375
2,VE 1000 - KRANJ,VO 1000 - KRANJ,9981000,Po pošti v tujini VKVE,0,33,0.0,33,33,0,1.0,24,0.727273,9,0.272727
3,VE 1000 - KRANJ,VO 1001 - JESENICE,1,"Vrtec Rateče, Rateče 18, Rateče",545,246,0.4514,246,244,2,1.0,120,0.491803,124,0.508197
4,VE 1000 - KRANJ,VO 1001 - JESENICE,2,"Krajevna skupnost Podkoren, Podkoren 15, Podkoren",344,140,0.407,140,138,2,1.0,60,0.434783,78,0.565217
5,VE 1000 - KRANJ,VO 1001 - JESENICE,3,"Občina Kranjska Gora, Kolodvorska ul. 1b,Kr. Gora",639,234,0.3662,234,231,3,1.0,100,0.4329,131,0.5671
6,VE 1000 - KRANJ,VO 1001 - JESENICE,4,"OŠ Kranjska Gora, Koroška ulica 12, Kranjska Gora",594,229,0.3855,229,227,2,1.0,138,0.60793,89,0.39207
7,VE 1000 - KRANJ,VO 1001 - JESENICE,5,"GD Gozd Martuljek, Zg. Rute 85, Gozd Martuljek",581,231,0.3976,231,228,3,1.0,112,0.491228,116,0.508772
8,VE 1000 - KRANJ,VO 1001 - JESENICE,6,"Kulturni dom Dovje, Dovje 109, Dovje",510,208,0.4078,208,207,1,1.0,99,0.478261,108,0.521739
9,VE 1000 - KRANJ,VO 1001 - JESENICE,7,"OŠ 16. december Mojstrana, Ulica Alojza Rabiča 7",1032,435,0.4215,435,434,1,1.0,236,0.543779,198,0.456221
10,VE 1000 - KRANJ,VO 1001 - JESENICE,8,"Stara gostilna Psnak, Zg. Radovna 17, Zg. Radovna",52,32,0.6154,32,32,0,1.0,14,0.4375,18,0.5625
11,VE 1000 - KRANJ,VO 1001 - JESENICE,9,"PGD Hrušica, Hrušica 13, Hrušica",229,87,0.3799,87,86,1,1.0,54,0.627907,32,0.372093
12,VE 1000 - KRANJ,VO 1001 - JESENICE,10,"Kulturni dom Hrušica, Hrušica 55A, Hrušica ",1024,368,0.3594,368,368,0,1.0,196,0.532609,172,0.467391
13,VE 1000 - KRANJ,VO 1001 - JESENICE,11,"KS Pl. pod Golico,Pl. pod Golico 31,Pl.pod Golico",333,147,0.4414,147,147,0,1.0,56,0.380952,91,0.619048
14,VE 1000 - KRANJ,VO 1001 - JESENICE,12,"Hiša Klinar Štefan, Plavški Rovt 14, Plavški Rovt",63,21,0.3333,21,21,0,1.0,5,0.238095,16,0.761905
15,VE 1000 - KRANJ,VO 1001 - JESENICE,13,"DU dr.F.Bergelja,stavba C,Ul. S.Bokala 4,Jesenice",572,153,0.2675,153,153,0,1.0,79,0.51634,74,0.48366
16,VE 1000 - KRANJ,VO 1001 - JESENICE,14,"Zdravstveni dom Jesenice, C. m. Tita 78, Jesenice",1016,297,0.2923,297,296,1,1.0,151,0.510135,145,0.489865
17,VE 1000 - KRANJ,VO 1001 - JESENICE,15,"OŠ Toneta Čufarja, Cesta C. Tavčarja 21, Jesenice",1160,270,0.2328,270,269,1,1.0,144,0.535316,125,0.464684
18,VE 1000 - KRANJ,VO 1001 - JESENICE,16,"JEKO d.o.o., Cesta maršala Tita 51, Jesenice",1174,315,0.2683,315,313,2,1.0,160,0.511182,153,0.488818
19,VE 1000 - KRANJ,VO 1001 - JESENICE,17,"Vrtec Angelce Ocepek, C. C. Tavčarja 3A, Jesenice",1072,302,0.2817,302,301,1,1.0,172,0.571429,129,0.428571
20,VE 1000 - KRANJ,VO 1001 - JESENICE,18,"Krajevna skupnost Sava, Pod gozdom 2, Jesenice",826,277,0.3354,277,277,0,1.0,165,0.595668,112,0.404332
21,VE 1000 - KRANJ,VO 1001 - JESENICE,19,"OŠ Prežihovega Voranca-1,C. T. Tomšiča 5,Jesenice",380,154,0.4053,154,154,0,1.0,84,0.545455,70,0.454545
