,Volilna_Enota,Volilni_Okraj,Volilni_Okraj_Ime,Št. volilnih upr.,Udelezba-N,Udelezba-%,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SD-N,SD-%,SD-n,RESNICA-N,RESNICA-%,RESNICA-n,MI_SOCIALISTI-N,MI_SOCIALISTI-%,MI_SOCIALISTI-n,GLAS_UPOKOJENCEV-n,GLAS_UPOKOJENCEV-%,GLAS_UPOKOJENCEV-n.1,SDS-N,SDS-%,SDS-n,LEVICA-N,LEVICA-%,LEVICA-n,ZAUPANJE- št. glasov,ZAUPANJE- odstotek,ZAUPANJE- št. mandatov,PREROD-N,PREROD-%,PREROD- št. mandatov,PIRATI-N,PIRATI-%,PIRATI-n,NSI-N,NSI-%,NSI-n,SVOBODA-N,SVOBODA-%,SVOBODA-n,ZELENI+SG- št. glasov,ZELENI+SG- odstotek,ZELENI+SG- št. mandatov,SLOGA- št. glasov,SLOGA- odstotek,SLOGA- št. mandatov,REŠITEV- št. glasov,REŠITEV- odstotek,REŠITEV- št. mandatov,DEMOKRATI-N,DEMOKRATI-%,DEMOKRATI-n,SNS- št. glasov,SNS- odstotek,SNS- št. mandatov,ALTERNATIVA- št. glasov,ALTERNATIVA- odstotek,ALTERNATIVA- št. mandatov
0,,,,1695220,1186519,0.6999,1186407,1175434,10973,0.9999,78883,0.06711,6.0,64695,0.055039,5.0,5610,0.004773,0.0,4176,0.003553,0.0,327973,0.279023,28.0,66351,0.056448,5.0,2987,0.002541,0.0,35876,0.030521,0.0,27706,0.023571,0.0,108884,0.092633,9.0,336930,0.286643,29.0,5236,0.004455,0.0,250.0,0.000213,0.0,164.0,0.00014,0.0,78620,0.066886,6.0,26319,0.022391,0.0,4774,0.004061,0.0
1,1.0,,,208966,152437,0.7295,152424,150899,1525,0.9999,8082,0.053559,0.0,10624,0.070405,1.0,778,0.005156,0.0,689,0.004566,0.0,41757,0.276722,3.0,8918,0.059099,1.0,436,0.002889,0.0,5285,0.035023,0.0,3919,0.025971,0.0,16823,0.111485,2.0,39452,0.261446,3.0,553,0.003665,0.0,,,,,,,10000,0.066269,1.0,2904,0.019245,0.0,679,0.0045,0.0
2,1.0,1.0,Jesenice,25995,16414,0.6314,16414,16205,209,1.0,896,0.055292,,1508,0.093058,,112,0.006911,,101,0.006233,,3480,0.214749,,845,0.052144,,54,0.003332,,747,0.046097,,406,0.025054,,929,0.057328,,5948,0.367047,,60,0.003703,,,,,,,,756,0.046652,,288,0.017772,,75,0.004628,
3,1.0,2.0,Radovljica 1,13446,9867,0.7338,9867,9750,117,1.0,529,0.054256,,556,0.057026,,73,0.007487,,41,0.004205,,2760,0.283077,,625,0.064103,,23,0.002359,,651,0.066769,,275,0.028205,,930,0.095385,,2334,0.239385,,40,0.004103,,,,,,,,655,0.067179,,204,0.020923,,54,0.005538,
4,1.0,3.0,Radovljica 2,16007,11604,0.7249,11604,11494,110,1.0,640,0.055681,,872,0.075866,,61,0.005307,,53,0.004611,,2808,0.244301,,792,0.068906,,29,0.002523,,437,0.03802,,346,0.030103,,1075,0.093527,,3050,0.265356,,46,0.004002,,,,,,,,1016,0.088394,,208,0.018096,,61,0.005307,
5,1.0,4.0,Kranj 1,20303,14150,0.6969,14147,14022,125,0.9998,788,0.056197,,1353,0.096491,,64,0.004564,,46,0.003281,,3254,0.232064,,1074,0.076594,,49,0.003495,,434,0.030951,,403,0.028741,,1065,0.075952,,4152,0.296106,,48,0.003423,,,,,,,,991,0.070675,,233,0.016617,,68,0.00485,
6,1.0,5.0,Kranj 2,20478,14789,0.7222,14788,14646,142,0.9999,755,0.05155,,1698,0.115936,,85,0.005804,,67,0.004575,,3392,0.231599,,1006,0.068688,,42,0.002868,,486,0.033183,,398,0.027175,,1491,0.101803,,3946,0.269425,,70,0.004779,,,,,,,,883,0.060289,,271,0.018503,,56,0.003824,
7,1.0,6.0,Kranj 3,24697,19607,0.7939,19601,19429,172,0.9997,912,0.04694,,1162,0.059808,,74,0.003809,,89,0.004581,,6366,0.327655,,878,0.04519,,61,0.00314,,641,0.032992,,515,0.026507,,2710,0.139482,,3900,0.200731,,80,0.004118,,,,,,,,1594,0.082042,,378,0.019455,,69,0.003551,
8,1.0,7.0,Tržič,12371,8631,0.6977,8630,8533,97,0.9999,514,0.060237,,627,0.073479,,41,0.004805,,59,0.006914,,2212,0.259229,,431,0.05051,,17,0.001992,,281,0.032931,,202,0.023673,,717,0.084027,,2520,0.295324,,28,0.003281,,,,,,,,616,0.07219,,221,0.025899,,47,0.005508,
9,1.0,8.0,Škofja Loka 1,18705,14167,0.7574,14167,14027,140,1.0,645,0.045983,,799,0.056962,,103,0.007343,,54,0.00385,,4068,0.290012,,1027,0.073216,,23,0.00164,,416,0.029657,,302,0.02153,,2098,0.149569,,3332,0.237542,,41,0.002923,,,,,,,,819,0.058387,,237,0.016896,,63,0.004491,
10,1.0,9.0,Škofja Loka 2,15552,12594,0.8098,12594,12490,104,1.0,609,0.048759,,524,0.041954,,33,0.002642,,40,0.003203,,5099,0.408247,,602,0.048199,,39,0.003122,,265,0.021217,,237,0.018975,,2182,0.1747,,1936,0.155004,,40,0.003203,,,,,,,,637,0.051001,,201,0.016093,,46,0.003683,
