,Volilna_Enota,Volilni_Okraj,ID_Volisca,Volisce,Št. volilnih upr.,Udelezba-N,Udelezba-%,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SD-N,SD-%,RESNICA-N,RESNICA-%,MI_SOCIALISTI_N,MI_SOCIALISTI-%,GLAS_UPOKOJENCEV-n,GLAS_UPOKOJENCEV-%,SDS-N,SDS-%,LEVICA-N,LEVICA-%,ZAUPANJE- št. glasov,ZAUPANJE- odstotek,PREROD-N,PREROD-%,PIRATI-N,PIRATI-%,NSI-N,NSI-%,SVOBODA-N,SVOBODA-%,ZELENI+SG- št. glasov,ZELENI+SG- odstotek,SLOGA- št. glasov,SLOGA- odstotek,REŠITEV- št. glasov,REŠITEV- odstotek,DEMOKRATI-N,DEMOKRATI-%,SNS- št. glasov,SNS- odstotek,ALTERNATIVA- št. glasov,ALTERNATIVA- odstotek
0,1,1,1,"Vrtec Rateče, Rateče 18, Rateče",542,402,0.7417,402,396,6,1.0,22,0.055556,14,0.035354,3,0.007576,1,0.002525,136,0.343434,29,0.073232,2,0.005051,13,0.032828,11,0.027778,31,0.078283,98,0.247475,1,0.002525,,,,,21,0.05303,12,0.030303,2,0.005051
1,1,1,2,"Krajevna skupnost Podkoren, Podkoren 15, Podkoren",342,240,0.7018,240,238,2,1.0,14,0.058824,16,0.067227,0,0.0,2,0.008403,83,0.348739,8,0.033613,1,0.004202,14,0.058824,5,0.021008,24,0.10084,51,0.214286,0,0.0,,,,,10,0.042017,8,0.033613,2,0.008403
2,1,1,3,"Občina Kranjska Gora, Kolodvorska ul. 1b,Kr. Gora",637,400,0.6279,400,390,10,1.0,23,0.058974,18,0.046154,1,0.002564,3,0.007692,109,0.279487,22,0.05641,1,0.002564,27,0.069231,7,0.017949,35,0.089744,111,0.284615,4,0.010256,,,,,23,0.058974,6,0.015385,0,0.0
3,1,1,4,"OŠ Kranjska Gora, Koroška ulica 12, Kranjska Gora",589,348,0.5908,348,344,4,1.0,19,0.055233,21,0.061047,2,0.005814,0,0.0,88,0.255814,18,0.052326,2,0.005814,18,0.052326,6,0.017442,29,0.084302,113,0.328488,0,0.0,,,,,25,0.072674,3,0.008721,0,0.0
4,1,1,5,"GD Gozd Martuljek, Zg. Rute 85, Gozd Martuljek",577,384,0.6655,384,381,3,1.0,25,0.065617,16,0.041995,2,0.005249,3,0.007874,104,0.272966,14,0.036745,1,0.002625,22,0.057743,12,0.031496,35,0.091864,103,0.270341,1,0.002625,,,,,29,0.076115,12,0.031496,2,0.005249
5,1,1,6,"Kulturni dom Dovje, Dovje 109, Dovje",511,347,0.6791,347,341,6,1.0,29,0.085044,20,0.058651,2,0.005865,1,0.002933,110,0.322581,8,0.02346,2,0.005865,26,0.076246,6,0.017595,25,0.073314,89,0.260997,4,0.01173,,,,,9,0.026393,10,0.029326,0,0.0
6,1,1,7,"OŠ 16. december Mojstrana, Ulica Alojza Rabiča 7",1028,679,0.6605,679,671,8,1.0,59,0.087928,43,0.064083,8,0.011923,5,0.007452,171,0.254844,26,0.038748,3,0.004471,36,0.053651,16,0.023845,40,0.059613,198,0.295082,4,0.005961,,,,,34,0.050671,18,0.026826,10,0.014903
7,1,1,8,"Stara gostilna Psnak, Zg. Radovna 17, Zg. Radovna",53,40,0.7547,40,39,1,1.0,3,0.076923,3,0.076923,1,0.025641,0,0.0,7,0.179487,4,0.102564,2,0.051282,6,0.153846,1,0.025641,5,0.128205,5,0.128205,0,0.0,,,,,1,0.025641,1,0.025641,0,0.0
8,1,1,9,"PGD Hrušica, Hrušica 13, Hrušica",229,151,0.6594,151,147,4,1.0,8,0.054422,17,0.115646,1,0.006803,0,0.0,39,0.265306,6,0.040816,0,0.0,9,0.061224,1,0.006803,4,0.027211,55,0.37415,0,0.0,,,,,3,0.020408,3,0.020408,1,0.006803
9,1,1,10,"Kulturni dom Hrušica, Hrušica 55A, Hrušica ",1024,667,0.6514,667,665,2,1.0,49,0.073684,74,0.111278,3,0.004511,5,0.007519,163,0.245113,33,0.049624,0,0.0,25,0.037594,13,0.019549,37,0.055639,219,0.329323,2,0.003008,,,,,28,0.042105,12,0.018045,2,0.003008
