enota,okraj,id,naslov,Latitude,Longitude
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,36,"Štanjel, ZDD, Štanjel 59 A",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,39,"Hruševica, vaški dom, Hruševica bš",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,41,"Dolnje Ležeče, vaški dom, Dolnje Ležeče bš",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,42,"Naklo, vaški dom,  Naklo bš",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,43,"Dane pri Divači, vaški dom, Dane pri Divači bš",45.0,20.0
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,44,"Famlje, v dvorani Rudnik Vreme, Famlje 2 a",14.3344,43.7947
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,45,"Gornje Ležeče, v hiši Jožeta Čeperja, G.Ležeče 16",14.3344,43.7947
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,47,"Vareje, vaški dom, Vareje bš",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,48,"Senožeče, VD R. Cvetka, Senožeče bš",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,50,"Hrpelje, vaški dom Hrpelje, Na  Gorici 2a",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,52,"Krvavi Potok, vaški dom, Krvavi Potok 16 h",14.3344,43.7947
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,54,"Vrhpolje, vaški dom, Vrhpolje 9 b",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,55,"Artviže, vaški dom, Artviže 6a",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,56,"Gradišče pri Materiji, prostori KS, Gradišče 42 a",14.3344,43.7947
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,57,"Bač pri Materiji, GD, Bač pri Materiji 28b",14.3344,43.7947
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,59,"Ocizla, vaška hiša, Ocizla bš",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,60,"Obrov, prostori balinišča, Obrov 62 d",45.70924,13.87333
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,69,"Javorje, vaški dom, Javorje 21 a",45.70924,13.87333
