enota,okraj,id,naslov
VE 1000 - KRANJ,VO 1001 - JESENICE,12,"Hiša Klinar Štefan, Plavški Rovt 14, Plavški Rovt"
VE 1000 - KRANJ,VO 1001 - JESENICE,24,"KS Podmežakla, Mencingerjeva ulica 1, Jesenice"
VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,25,"Gasilski dom Bohinj. Češnjica, Bohin. Češnjica 79"
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,2,"Podružnična šola Begunje, Begunje na Gorenj. 27 b"
VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,3,"GASILSKO ORODIŠČE, pri hiši Konc, Dvorska vas 20a"
VE 1000 - KRANJ,VO 1004 - KRANJ 1,12,"Kokrica II, Kulturni dom Kokrica, C. na Brdo 30"
VE 1000 - KRANJ,VO 1004 - KRANJ 1,13,"Kokrica I, Kulturni dom Kokrica, C. na Brdo 30"
VE 1000 - KRANJ,VO 1005 - KRANJ 2,15,"Podreča, Krelj Thomas, Podreča 74, Mavčiče"
VE 1000 - KRANJ,VO 1006 - KRANJ 3,3,"Cerklje na Gor. II, OŠ D.Jenko, Krvavška c. 4"
VE 1000 - KRANJ,VO 1006 - KRANJ 3,6,"Praprotna polica, Vaški dom Praprotna polica"
VE 1000 - KRANJ,VO 1006 - KRANJ 3,21,"Naklo II, Večnamenski objekt Naklo, Stara c. 61  "
VE 1000 - KRANJ,VO 1006 - KRANJ 3,24,"Kokra, Osnovna šola, Kokra 23"
VE 1000 - KRANJ,VO 1006 - KRANJ 3,30,"Prebačevo, Gasilski dom, Prebačevo 63"
VE 1000 - KRANJ,VO 1007 - TRŽIČ,15,"Tržič II, Društvo upokojencev Tržič,Trg svobode18"
VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,20,"Zadružni dom Log nad Škofjo Loko, Log nad Šk.L.31"
VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,23,"Krajevna skupnost Lenart, Sv. Lenart 21, Selca"
VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,10,"Demšar Slavko, Dolenje Brdo 7, Poljane nad Šk.L."
VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,20,"Kulturni dom ŽELEZNIKI, Trnje 39, Železniki"
VE 1000 - KRANJ,VO 1010 - KAMNIK,5,"KS Pšajnovica, Mali Rakitovec 15, Blagovica"
VE 1000 - KRANJ,VO 1011 - IDRIJA,16,"Zgradba Makuc Stanka, v stavbi št. 2347-89"
VE 1000 - KRANJ,VO 1011 - IDRIJA,36,"DU Idrija, Enota Marof, Vojkova ul. 35"
VE 2000 - POSTOJNA,VO 2002 - PIRAN,11,"OŠ Sv. Peter, Sv. Peter 13, 6333 Sečovlje"
VE 2000 - POSTOJNA,VO 2002 - PIRAN,12,"Dom Zmaga, Nova vas nad Dragonjo 50, 6333 Sečovlje"
VE 2000 - POSTOJNA,VO 2003 - IZOLA,4,"Kulturni dom, Ul.okt. revolucije 1"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,1,"Avber, bivša OŠ, Avber 41"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,2,"Dane pri Sežani, Dom na Padulu, Dane 17 A"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,4,"Kreplje, Vaški dom, Kreplje bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,10,"Pliskovica, balinarski klub, Pliskovica bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,14,"Sedež Občine Sežana, Sežana, Partizanska c.4"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,15,"Otroški vrtec, Sežana, Ul. J. Pahorja 1 "
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,16,"VDC Koper - Enota Sežana, Sežana, Ul. J.Pahorja 3"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,17,"OŠ Sežana, Sežana, Kosovelova ul. 6"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,18,"Stara OŠ, Sežana, Bazoviška c. 9"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,19,"ZGRS Sežana, Sežana, Bazoviška c. 13"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,23,"Tomaj, sedež KS - balinišče, Tomaj bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,25,"Tabor, OŠ, Tabor 9"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,27,"Gabrovica pri Komnu 47, prostori vaške skupnosti"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,28,"Volčji Grad, vaška hiša, Volčji Grad št. 24"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,29,"Tomačevica, vaški dom, Tomačevica bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,30,"Sveto, stara OŠ, Sveto 68"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,31,"Škrbina, stara OŠ, Škrbina bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,32,"Ivanji Grad, vaški dom, Ivanji Grad bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,33,"Brje pri Komnu, vaški dom, Brje pri Komnu bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,34,"Gorjansko, ZDD, Gorjansko 84 b"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,35,"Brestovica pri Komnu 55, prostori vaške skupnosti"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,36,"Štanjel, ZDD, Štanjel 59 A"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,37,"Kodreti, Vaška skupnost Gornja Branica,Kodreti 10"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,38,"Kobjeglava, VS Tupelče Kobjeglava, Kobjeglava 75"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,39,"Hruševica, vaški dom, Hruševica bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,40,"Divača  OŠ, Ul. dr. B. Magajne 4, Divača"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,41,"Dolnje Ležeče, vaški dom, Dolnje Ležeče bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,42,"Naklo, vaški dom,  Naklo bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,43,"Dane pri Divači, vaški dom, Dane pri Divači bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,44,"Famlje, v dvorani Rudnik Vreme, Famlje 2 a"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,45,"Gornje Ležeče, v hiši Jožeta Čeperja, G.Ležeče 16"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,46,"Barka, stara OŠ, Barka 33"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,47,"Vareje, vaški dom, Vareje bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,48,"Senožeče, VD R. Cvetka, Senožeče bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,49,"Dolenja vas, v ZDD, Dolenja vas 11"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,50,"Hrpelje, vaški dom Hrpelje, Na  Gorici 2a"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,51,"Tublje pri Hrpeljah, Gostilna Križman, Tublje  24"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,52,"Krvavi Potok, vaški dom, Krvavi Potok 16 h"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,54,"Vrhpolje, vaški dom, Vrhpolje 9 b"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,55,"Artviže, vaški dom, Artviže 6a"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,56,"Gradišče pri Materiji, prostori KS, Gradišče 42 a"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,57,"Bač pri Materiji, GD, Bač pri Materiji 28b"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,58,"Brezovica, vaški dom, Brezovica 9"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,59,"Ocizla, vaška hiša, Ocizla bš"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,60,"Obrov, prostori balinišča, Obrov 62 d"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,61,"Prešnica, OŠ, Prešnica 2"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,62,"Rodik, vaški dom, Rodik 6"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,63,"Slivje, prostori KS, Slivje 1"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,64,"Tatre, vaški dom, Tatre 2"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,68,"Klanec pri Kozini, vaški dom, Klanec pri Kozini 32"
VE 2000 - POSTOJNA,VO 2006 - SEŽANA,69,"Javorje, vaški dom, Javorje 21 a"
