Unnamed: 0,enota,okraj,id,naslov
2,VE 1000 - KRANJ,VO 1001 - JESENICE,3,"Občina Kranjska Gora, Kolodvorska ul. 1b,Kr. Gora"
11,VE 1000 - KRANJ,VO 1001 - JESENICE,12,"Hiša Klinar Štefan, Plavški Rovt 14, Plavški Rovt"
13,VE 1000 - KRANJ,VO 1001 - JESENICE,14,"Zdravstveni dom Jesenice, C. m. Tita 78, Jesenice"
16,VE 1000 - KRANJ,VO 1001 - JESENICE,17,"Vrtec Angelce Ocepek, C. C. Tavčarja 3A, Jesenice"
20,VE 1000 - KRANJ,VO 1001 - JESENICE,21,"OŠ P. Stražišarja-1, Ul. V. Kejžarja 35, Jesenice"
21,VE 1000 - KRANJ,VO 1001 - JESENICE,22,"OŠ P. Stražišarja-2, Ul. V. Kejžarja 35, Jesenice"
23,VE 1000 - KRANJ,VO 1001 - JESENICE,24,"KS Podmežakla, Mencingerjeva ulica 1, Jesenice"
24,VE 1000 - KRANJ,VO 1001 - JESENICE,25,"GD Javorniški Rovt, Javorniški Rovt 17, Jav. Rovt"
29,VE 1000 - KRANJ,VO 1001 - JESENICE,30,"OŠ Blejska Dobrava, Blejska Dobrava 44,Bl.Dobrava"
146,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,15,"Bohinjska hiša, Mencingerjeva ulica 4, Boh.Bistr."
147,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,16,"Dom Joža Ažmana, Triglavska c. 16, Boh. Bistrica"
148,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,17,"Gasilski dom Bitnje, Bitnje 13, Boh. Bistrica"
149,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,18,"Gasilski dom Nomenj, Nomenj 23, Boh. Bistrica"
151,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,20,"Gasilski dom Kamnje, Kamnje 26 a, Boh.Bistrica"
153,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,22,"Šola na Koprivniku, Koprivnik 4, Boh. Bistrica"
154,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,23,"Gasilski dom Gorjuše, Gorjuše 36 a, Boh.Bistrica"
155,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,24,"Avla podružnične šole, Srednja vas 69,Sr.vas v B. "
156,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,25,"Gasilski dom Bohinj. Češnjica, Bohin. Češnjica 79"
158,VE 1000 - KRANJ,VO 1002 - RADOVLJICA 1,27,"Center TNP Bohinj, Stara Fužina 37, B.jez."
258,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,2,"Podružnična šola Begunje, Begunje na Gorenj. 27 b"
259,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,3,"GASILSKO ORODIŠČE, pri hiši Konc, Dvorska vas 20a"
274,VE 1000 - KRANJ,VO 1003 - RADOVLJICA 2,18,"Športni park Rad.,soba PD, Ul.S. Žagarja 2b, Rad."
389,VE 1000 - KRANJ,VO 1004 - KRANJ 1,12,"Kokrica II, Kulturni dom Kokrica, C. na Brdo 30"
390,VE 1000 - KRANJ,VO 1004 - KRANJ 1,13,"Kokrica I, Kulturni dom Kokrica, C. na Brdo 30"
391,VE 1000 - KRANJ,VO 1004 - KRANJ 1,14,"Predoslje, Kulturni dom, Predoslje 34"
502,VE 1000 - KRANJ,VO 1005 - KRANJ 2,15,"Podreča, Krelj Thomas, Podreča 74, Mavčiče"
508,VE 1000 - KRANJ,VO 1005 - KRANJ 2,21,"Podblica, GD, Podblica 2, Zg. Besnica"
605,VE 1000 - KRANJ,VO 1006 - KRANJ 3,2,"Cerklje na Gor. I, OŠ D.Jenko,Krvavška c.4"
606,VE 1000 - KRANJ,VO 1006 - KRANJ 3,3,"Cerklje na Gor. II, OŠ D.Jenko, Krvavška c. 4"
607,VE 1000 - KRANJ,VO 1006 - KRANJ 3,4,"Češnjevek, Vaški dom, Češnjevek 11 a"
608,VE 1000 - KRANJ,VO 1006 - KRANJ 3,5,"Lahovče, Gasilski dom, Lahovče 74"
609,VE 1000 - KRANJ,VO 1006 - KRANJ 3,6,"Praprotna polica, Vaški dom Praprotna polica"
610,VE 1000 - KRANJ,VO 1006 - KRANJ 3,7,"Poženik, Vaški dom Poženik, Poženik 6"
611,VE 1000 - KRANJ,VO 1006 - KRANJ 3,8,"Spodnji Brnik, Gasilski dom, Sp.Brnik, Sp.Brnik 5a"
612,VE 1000 - KRANJ,VO 1006 - KRANJ 3,9,"Šenturška Gora, Krajevni dom, Šenturška Gora 11"
613,VE 1000 - KRANJ,VO 1006 - KRANJ 3,10,"Štefanja Gora, Gasilski dom, Štefanja Gora 30"
614,VE 1000 - KRANJ,VO 1006 - KRANJ 3,11,"Velesovo, Gasilski dom, Velesovo 53"
615,VE 1000 - KRANJ,VO 1006 - KRANJ 3,12,"Zalog, Osnovna šola, Zalog pri Cerkljah 29"
616,VE 1000 - KRANJ,VO 1006 - KRANJ 3,13,"Zgornji Brnik, Gasilski dom, Zgornji Brnik 8"
618,VE 1000 - KRANJ,VO 1006 - KRANJ 3,15,"Goriče, OŠ S. Jenko-telovadnica, Sr. vas-Goriče 1"
619,VE 1000 - KRANJ,VO 1006 - KRANJ 3,16,"Hrastje, Športni center Graben, Hrastje 209"
620,VE 1000 - KRANJ,VO 1006 - KRANJ 3,17,"Tenetiše, Dom druž. pol. org., Tenetiše 80"
621,VE 1000 - KRANJ,VO 1006 - KRANJ 3,18,"Trstenik, Dom krajevne skupnosti, Trstenik 8 a"
622,VE 1000 - KRANJ,VO 1006 - KRANJ 3,19,"Duplje, Gasilski dom Duplje, Zgornje Duplje 8"
624,VE 1000 - KRANJ,VO 1006 - KRANJ 3,21,"Naklo II, Večnamenski objekt Naklo, Stara c. 61  "
625,VE 1000 - KRANJ,VO 1006 - KRANJ 3,22,"Podbrezje, Kulturni dom, Podbrezje 147"
627,VE 1000 - KRANJ,VO 1006 - KRANJ 3,24,"Kokra, Osnovna šola, Kokra 23"
628,VE 1000 - KRANJ,VO 1006 - KRANJ 3,25,"Preddvor, Večnam. INFO center, Dvorski trg 3"
630,VE 1000 - KRANJ,VO 1006 - KRANJ 3,27,"Zgornja Bela, Dom krajanov, Zgornja Bela 67"
631,VE 1000 - KRANJ,VO 1006 - KRANJ 3,28,"Luže, Gasilski dom, Luže 27"
632,VE 1000 - KRANJ,VO 1006 - KRANJ 3,29,"Olševek, Gasilsko društvo Olševek, Olševek 18    "
633,VE 1000 - KRANJ,VO 1006 - KRANJ 3,30,"Prebačevo, Gasilski dom, Prebačevo 63"
634,VE 1000 - KRANJ,VO 1006 - KRANJ 3,31,"Srednja vas, Gasilski dom, Srednja vas pri Š. 68"
637,VE 1000 - KRANJ,VO 1006 - KRANJ 3,34,"Visoko, Dom krajanov, Visoko 67"
640,VE 1000 - KRANJ,VO 1006 - KRANJ 3,37,"Trboje, Dom krajanov, Trboje 39"
641,VE 1000 - KRANJ,VO 1006 - KRANJ 3,38,"Sp. Jezersko, Gostilna Kanonir, Sp. Jezersko 5"
642,VE 1000 - KRANJ,VO 1006 - KRANJ 3,39,"Zg. Jezersko, Korotan, Zgornje Jezersko 57"
643,VE 1000 - KRANJ,VO 1006 - KRANJ 3,40,"Hotemaže, Vaški gasilski dom, Hotemaže 80"
746,VE 1000 - KRANJ,VO 1007 - TRŽIČ,8,"Lom pod Storž., Dom krajanov, Lom pod Storžičem 56"
748,VE 1000 - KRANJ,VO 1007 - TRŽIČ,10,"Pristava, Fundacija V. Drakslerja, Pristavška 16"
