,address,lat,lon
0,"Vrtec Rateče, Rateče 18, Rateče",46.4960572,13.7197716
1,"Krajevna skupnost Podkoren, Podkoren 15, Podkoren",46.4934279,13.7574488
3,"OŠ Kranjska Gora, Koroška ulica 12, Kranjska Gora",46.4858846,13.7839747
4,"GD Gozd Martuljek, Zg. Rute 85, Gozd Martuljek",46.4849316,13.8287567
5,"Kulturni dom Dovje, Dovje 109, Dovje",46.4670563,13.9451056
6,"OŠ 16. december Mojstrana, Ulica Alojza Rabiča 7",46.4604925,13.937598
7,"Stara gostilna Psnak, Zg. Radovna 17, Zg. Radovna",46.4322703,13.9397402
8,"PGD Hrušica, Hrušica 13, Hrušica",46.4476071,14.0194899
9,"Kulturni dom Hrušica, Hrušica 55A, Hrušica ",46.4490865,14.0147651
10,"KS Pl. pod Golico,Pl. pod Golico 31,Pl.pod Golico",46.1199444,14.8153333
12,"DU dr.F.Bergelja,stavba C,Ul. S.Bokala 4,Jesenice",46.1199444,14.8153333
14,"OŠ Toneta Čufarja, Cesta C. Tavčarja 21, Jesenice",46.4407844,14.0374868
15,"JEKO d.o.o., Cesta maršala Tita 51, Jesenice",46.4381828,14.0494357
17,"Krajevna skupnost Sava, Pod gozdom 2, Jesenice",46.4367346,14.0591977
18,"OŠ Prežihovega Voranca-1,C. T. Tomšiča 5,Jesenice",46.1199444,14.8153333
19,"OŠ Prežihovega Voranca-2,C. T. Tomšiča 5,Jesenice",46.1199444,14.8153333
22,"Zavod za šport,sejna soba,Ledarska ul.6A,Jesenice",46.1199444,14.8153333
25,"OŠ Koroška Bela-1, Cesta talcev 2, Koroška Bela",46.4264347,14.0973567
26,"OŠ Koroška Bela-2, Cesta talcev 2, Koroška Bela",46.4264347,14.0973567
27,"DD J. in A.Pibernik-1,C.B.Kidriča 37C,Sl.Javornik",46.1199444,14.8153333
28,"DD J. in A.Pibernik-2,C.B.Kidriča 37C,Sl.Javornik",46.1199444,14.8153333
30,"Orodišče Kočna, Kočna bš, Kočna",46.4167798,14.0819708
31,"TVD Partizan Žirovnica, Žirovnica 63, Žirovnica",46.4026867,14.1343938
32,"Elektrarna Moste, Moste 41, Moste",46.4042287,14.126649
33,"Čopova rojstna hiša, Žirovnica 14, Žirovnica",46.4046417,14.1375374
34,"OŠ Žirovnica, Zabreznica 4, Zabreznica",46.3992089,14.1461403
35,"Občina Žirovnica, Breznica 3, Breznica",46.3958631,14.1524579
36,"Jalnova rojstna hiša, Rodine 10, Rodine",46.3827698,14.1749482
37,"Gasilski dom Mlino, Mlinska cesta 26, Bled",46.3573941,14.1010595
38,"Gasilski dom Rečica, Rečiška cesta 4, Bled",46.3763513,14.0912317
39,"Občina Bled, Cesta svobode 13, Bled",46.3687303,14.10957
40,"Osnovna šola Bled, Seliška cesta 3, Bled",46.3728236,14.109613
41,"INFOCENTER TRIGLAVSKA ROŽA BLED, Ljubljanska c.27",46.2343473,15.2529991
42,"Kulturni dom Bohinjska Bela, Bohinjska Bela  37",46.349535,14.0671082
