address,lat,lon
"Center, Avla MO Kranj, Slovenski trg 1, Kranj",46.2435146,14.3557716
"Čirče, Dom KS, Smledniška cesta 136, Kranj",46.2251864,14.3751979
"Klanec II, Dom krajanov, Jezerska c. 41, Kranj",46.2472577,14.3689128
"Primskovo I, Dom krajanov, Jezerska c. 41, Kranj",46.2472577,14.3689128
"Primskovo II, Dom krajanov, Jezerska c. 41, Kranj",46.2472577,14.3689128
"Huje I, OŠ Stane Žagar, C. 1.maja 10 a, Kranj",46.235257,14.3594096
"Planina I, OŠ Stane Žagar, C. 1. maja 10 a, Kranj",46.235257,14.3594096
"Struževo, Dom KS, Struževo 14, Kranj",46.2509826,14.3371284
"Gorenja Sava, SSC, Gorenjesavska c.35 a, Kranj",46.2449431,14.3429623
"Orehek I, Osnovna šola, Zasavska c. 53 a, Kranj",46.2187749,14.3647672
"Orehek II, Osnovna šola, Zasavska c. 53 a, Kranj",46.2187749,14.3647672
"Breg ob Savi, GD, Breg ob Savi 34, Mavčiče",46.2124757,14.3855875
"Žabnica, Telovadnica, Žabnica 20, Žabnica",46.1975699,14.332722
"Bitnje II, GD, Zg. Bitnje 33, Žabnica",46.2157147,14.3383489
"Zgornje Bitnje, GD, Zg. Bitnje 33, Žabnica",46.2157147,14.3383489
"Pševo, DKS Jošt, Pševo 3, Kranj",46.2385013,14.3063718
"Sp. Besnica, GD, Na hribu 7, Zg. Besnica",46.2584636,14.3012334
"Golnik, Kranjski vrtci-Enota Ostržek, Golnik 54",46.3240854,14.329392
"Naklo I, Dom Janeza Filipiča, Kranjska c.1, Naklo",46.2713743,14.3135039
"Šenčur I, OŠ Šenčur, Pipanova c.43, Šenčur",46.2486038,14.4190403
"Voglje, Dom vaščanov Voglje, Na vasi 21, Voglje",46.2136136,14.4372131
"Brezje, Dom krajanov, Brezje pri Tržiču 55, Tržič",46.3571735,14.2753609
"Jelendol, Dom krajanov, Jelendol 8, Tržič",46.3984672,14.3446283
"Kovor, Krajevna skupnost, Glavna cesta 24, Tržič",46.3399831,14.2816985
"Leše, Gasilski dom Leše, Leše 3, Tržič ",46.3557986,14.2570443
"Podljubelj, Dom krajanov, Podljubelj 242, Tržič ",46.3999634,14.2828073
"Ravne, KS Ravne, Pot na Zali Rovt 3, Tržič",46.3688574,14.307153
"Sebenje, Dom krajanov, Sebenje 43, Križe",46.3301663,14.299526
"Senično, Krajevna skupnost, Senično 30, Križe   ",46.3323758,14.3165808
"OŠ F. Albrehta, PŠ Nevlje, Nevlje 18, Kamnik",46.2306238,14.6266841
"OŠ Stranje, PŠ Gozd, Krivčevo 2, Stahovica",46.2631298,14.6711868
"OŠ F. Albrehta, PŠ Tunjice, Tunjice 22, Kamnik",46.2380809,14.5790445
"Kozina, Krajevna skupnost, Kozina, Istrska ul. 18",45.6076994,13.936158
"DSO, Enota Kolezija, Kopališka ul. 10, Ljubljana",46.0424638,14.4962664
"Vrtec Medvode, Enota Senica, Zg. Senica 45,Medvode",46.1512897,14.3865489
"A MI GO, d.o.o., Vinice 8, Sodražica",45.755612,14.6699374
"OSTRI, Ravnak Ivan, Celjska c. 2/b, Vojnik",46.2994381,15.3011045
"Sedež KS, Velika dvorana, Teharska cesta 2a,Celje",46.229198,15.2700348
"Župnija Celje, Sv. Cecilija, Breg 18, Celje",46.2244717,15.2651855
"Rdeči križ, OZ Celje, Delavska ulica 21, Celje",46.2367239,15.2762351
"AMZS d.d., PE Celje,  Ljubljanska cesta 35, Celje",46.234543,15.2490695
"I.OŠ Celje, Disloc.enota, Kosovelova 14, Celje",46.2353451,15.2650855
"Vrtec Zarja, Enota Ringa raja, Nušičeva 2c, Celje",46.2385589,15.2669696
"Šola Polzela, Volišče I, Šolska ul. 3, Polzela",46.279664,15.0783197
"Šola Polzela, Volišče II, Šolska ul. 3, Polzela",46.279664,15.0783197
"Šola Polzela, Volišče III, Šolska ul. 3, Polzela",46.279664,15.0783197
"GD Stopiče, Stopiče 3, 8322 Stopiče",45.7664323,15.2121688
"Vrtec Mavrica, vhod B, Šolska ul. 5, 8250 Brežice",45.9061081,15.5973378
"hiša Rome Janeza, Briše 17, Izlake",46.152403,14.8945718
"DK Zagorje, Zagorje 47, 3261 Lesično ",46.0880182,15.4855476
"Golež Stanislav, Rakovec 8, 3231 Grobelno",46.2180706,15.4779107
"Bakovci I, Vaški dom, Bakovci, Partizanska ul. 38",46.6167251,16.1475937
"Bakovci II, Vaški dom,Bakovci,Partizanska ul. 38",46.6167251,16.1475937
